Comment,Designator,Footprint,LCSC
"220","R9,R3","R_0402_1005Metric","C2909336"
"LED","D4","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","None"
"1N4007","D3","D_SOD-123","C3018540"
"TLP160G","U5","MFSOP6-4_4.4x3.6mm_P1.27mm","C2848498"
"NCP1117","U4","SOT-223-3_TabPin2","C17314"
"10u","C4,C5","C_0805_2012Metric","C88484"
"SN74HC74N","U2","SOIC-14_3.9x8.7mm_P1.27mm","C6762"
"10K","R5,R8,R6,R7","R_0402_1005Metric","C25744"
"100nF","C1,C3","C_0402_1005Metric","C1525"
"22pF","C2","C_0402_1005Metric","C1555"
"34K","R2","R_0402_1005Metric","C48939"
"PCF8563T","U3","SOIC-8_3.9x4.9mm_P1.27mm","C7440"
"100","R10","R_0402_1005Metric","C2906884"
"JST-PH2 Bat","J6","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","C295747"
"100K","R4,R1","R_0402_1005Metric","C25741"
"S8050","Q1","TSOT-23","C909746"
"1A 20V Schottky","D1","D_SOD-123F","C169527"
