Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R3","220","R_0402_1005Metric",73.315,-71.0,0.0,top
"D4","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",69.875,-71.0,0.0,top
"D3","1N4007","D_SOD-123",136.025,-96.6,0.0,top
"U5","TLP160G","MFSOP6-4_4.4x3.6mm_P1.27mm",134.6,-90.505,0.0,top
"U4","NCP1117","SOT-223-3_TabPin2",116.325,-101.85,270.0,top
"C4","10u","C_0805_2012Metric",121.65,-97.45,0.0,top
"U2","SN74HC74N","SOIC-14_3.9x8.7mm_P1.27mm",63.5,-95.99,180.0,top
"R5","10K","R_0402_1005Metric",65.175,-101.5,180.0,top
"C3","100nF","C_0402_1005Metric",68.225,-99.8,0.0,top
"R9","220","R_0402_1005Metric",128.3,-91.85,270.0,top
"C2","22pF","C_0402_1005Metric",60.65,-102.1,0.0,top
"R2","34K","R_0402_1005Metric",105.125,-94.375,90.0,top
"R8","10K","R_0402_1005Metric",72.25,-108.8,270.0,top
"U3","PCF8563T","SOIC-8_3.9x4.9mm_P1.27mm",63.65,-106.42,270.0,top
"R10","100","R_0402_1005Metric",127.81,-89.425,0.0,top
"C1","100nF","C_0402_1005Metric",66.575,-102.925,0.0,top
"J6","JST-PH2 Bat","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",60.075,-86.0,270.0,top
"R4","100K","R_0402_1005Metric",71.1,-99.8,0.0,top
"Q1","S8050","TSOT-23",129.2,-95.44,90.0,top
"C5","10u","C_0805_2012Metric",121.65,-106.075,0.0,top
"R1","100K","R_0402_1005Metric",108.625,-94.4,270.0,top
"R6","10K","R_0402_1005Metric",69.3,-109.85,90.0,top
"R7","10K","R_0402_1005Metric",73.55,-113.325,0.0,top
"D1","1A 20V Schottky","D_SOD-123F",103.9,-74.925,270.0,top
